Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,21.709999,22.270000,21.670000,22.270000,20.974157,174700
2016-04-19,22.240000,22.469999,22.059999,22.320000,21.021246,65400
2016-04-20,22.230000,22.459999,21.980000,22.170000,20.879976,89500
2016-04-21,22.110001,22.410000,22.049999,22.209999,20.917646,56700
2016-04-22,23.000000,23.750000,22.740000,23.360001,22.000734,357900
2016-04-25,23.299999,23.850000,23.170000,23.730000,22.349203,117500
2016-04-26,24.000000,24.600000,23.480000,24.309999,22.895451,363100
2016-04-27,24.230000,24.940001,24.230000,24.700001,23.262760,156000
2016-04-28,24.530001,24.879999,24.530001,24.850000,23.404028,113600
2016-04-29,24.730000,24.760000,24.430000,24.430000,23.008472,63300
2016-05-02,24.549999,24.549999,24.010000,24.200001,22.791855,162000
2016-05-03,23.889999,23.940001,23.370001,23.760000,22.377455,231000
2016-05-04,23.639999,24.030001,23.600000,23.650000,22.273859,86100
2016-05-05,23.740000,23.790001,23.469999,23.469999,22.104334,101100
2016-05-06,23.420000,23.820000,23.370001,23.709999,22.330362,51400
2016-05-09,23.629999,23.940001,23.490000,23.840000,22.452801,94100
2016-05-10,23.860001,24.080000,23.660000,23.730000,22.349203,42600
2016-05-11,23.690001,23.780001,23.309999,23.490000,22.146498,58300
2016-05-12,23.500000,23.860001,23.309999,23.559999,22.212494,72100
2016-05-13,23.450001,23.690001,23.389999,23.530001,22.184214,37800
2016-05-16,23.500000,23.799999,23.389999,23.580000,22.231352,79700
2016-05-17,23.520000,23.990000,23.260000,23.350000,22.014503,290300
2016-05-18,23.320000,23.440001,23.120001,23.280001,21.948507,63400
2016-05-19,23.250000,23.250000,22.830000,23.110001,21.788233,67700
2016-05-20,23.170000,23.570000,23.080000,23.350000,22.014503,47200
2016-05-23,23.290001,23.340000,22.959999,23.000000,21.684526,65900
2016-05-24,23.129999,23.379999,22.680000,23.250000,21.920223,306800
2016-05-25,23.230000,23.389999,22.959999,22.990000,21.675097,59500
2016-05-26,23.059999,23.110001,22.860001,22.900000,21.590240,59800
2016-05-27,22.850000,23.320000,22.850000,23.209999,21.882513,290500
2016-05-31,23.309999,23.740000,23.180000,23.540001,22.193642,82600
2016-06-01,23.400000,23.670000,23.320000,23.650000,22.297344,61800
2016-06-02,23.760000,23.879999,23.670000,23.790001,22.429342,62900
2016-06-03,23.639999,23.730000,23.350000,23.400000,22.061644,32200
2016-06-06,23.350000,23.580000,23.219999,23.459999,22.118212,36800
2016-06-07,23.510000,23.549999,23.270000,23.389999,22.052219,25700
2016-06-08,23.400000,23.540001,23.260000,23.400000,22.061644,33800
2016-06-09,23.379999,23.450001,23.170000,23.299999,21.967367,42500
2016-06-10,23.260000,23.389999,22.950001,23.049999,21.731663,43300
2016-06-13,23.000000,23.059999,22.570000,22.680000,21.382826,49400
2016-06-14,22.620001,22.910000,22.580000,22.650000,21.354544,58800
2016-06-15,22.670000,22.959999,22.650000,22.719999,21.420538,57900
2016-06-16,22.690001,22.900000,22.410000,22.820000,21.514818,63300
2016-06-17,22.790001,22.799999,22.299999,22.370001,21.090553,200600
2016-06-20,22.530001,22.780001,22.480000,22.480000,21.194265,40000
2016-06-21,22.770000,22.840000,22.400000,22.700001,21.401680,89200
2016-06-22,22.780001,22.780001,22.370001,22.530001,21.241409,69700
2016-06-23,22.650000,22.900000,22.629999,22.850000,21.543102,53600
2016-06-24,22.170000,22.650000,22.110001,22.620001,21.326260,447400
2016-06-27,22.340000,22.389999,21.969999,22.010000,20.751146,102700
2016-06-28,22.190001,22.450001,22.040001,22.270000,20.996275,79900
2016-06-29,22.510000,22.860001,22.510000,22.809999,21.505390,62700
2016-06-30,22.840000,23.709999,22.770000,23.680000,22.325636,117300
2016-07-01,23.629999,23.629999,23.120001,23.280001,21.948507,51300
2016-07-05,23.139999,23.160000,22.950001,23.030001,21.712809,92300
2016-07-06,22.959999,23.520000,22.959999,23.469999,22.127644,59100
2016-07-07,23.459999,23.700001,23.290001,23.660000,22.306774,162400
2016-07-08,23.780001,24.170000,23.639999,24.049999,22.674471,104700
2016-07-11,24.170000,24.340000,24.129999,24.260000,22.872459,59700
2016-07-12,24.379999,24.379999,24.150000,24.160000,22.778179,54300
2016-07-13,24.200001,24.610001,23.809999,24.370001,22.976168,100100
2016-07-14,24.600000,24.700001,24.250000,24.320000,22.929029,56300
2016-07-15,24.440001,24.480000,24.139999,24.320000,22.929029,94600
2016-07-18,24.410000,24.580000,24.190001,24.370001,22.976168,47600
2016-07-19,24.400000,24.440001,24.040001,24.150000,22.768749,85100
2016-07-20,24.180000,24.320000,24.080000,24.190001,22.806463,36600
2016-07-21,24.080000,24.480000,24.080000,24.430000,23.032736,165200
2016-07-22,24.469999,24.969999,24.450001,24.889999,23.466425,52000
2016-07-25,24.780001,24.780001,24.530001,24.670000,23.259008,33200
2016-07-26,24.709999,24.870001,24.500000,24.670000,23.259008,66000
2016-07-27,24.180000,24.530001,24.110001,24.360001,22.966742,63700
2016-07-28,24.290001,24.500000,24.110001,24.480000,23.079874,150100
2016-07-29,24.420000,24.670000,24.290001,24.309999,22.919598,53700
2016-08-01,24.430000,24.430000,23.549999,23.660000,22.306774,145200
2016-08-02,23.639999,23.750000,23.320000,23.370001,22.033363,58400
2016-08-03,23.370001,23.600000,23.280001,23.540001,22.193642,89000
2016-08-04,23.510000,23.540001,23.230000,23.320000,21.986225,49500
2016-08-05,23.459999,23.770000,23.459999,23.700001,22.344486,48200
2016-08-08,23.670000,24.120001,23.650000,23.969999,22.599049,106100
2016-08-09,23.990000,24.040001,23.540001,23.549999,22.203066,65500
2016-08-10,23.650000,23.940001,23.299999,23.400000,22.061644,42700
2016-08-11,23.490000,23.709999,23.360001,23.450001,22.108788,82000
2016-08-12,23.320000,23.799999,23.320000,23.750000,22.439468,93900
2016-08-15,23.809999,24.090000,23.670000,23.900000,22.581196,79100
2016-08-16,23.879999,24.090000,23.580000,23.770000,22.458372,69300
2016-08-17,23.740000,23.750000,23.520000,23.629999,22.326094,56000
2016-08-18,23.540001,23.879999,23.540001,23.740000,22.430025,38600
2016-08-19,23.730000,23.799999,23.379999,23.719999,22.411131,204800
2016-08-22,23.620001,23.740000,23.500000,23.600000,22.297750,276000
2016-08-23,23.570000,23.950001,23.570000,23.870001,22.552856,32400
2016-08-24,23.760000,23.790001,23.549999,23.650000,22.344992,95300
2016-08-25,23.629999,23.809999,23.440001,23.760000,22.448921,73700
2016-08-26,23.740000,23.910000,23.400000,23.490000,22.193821,32300
2016-08-29,23.490000,23.650000,23.379999,23.440001,22.146580,38200
2016-08-30,23.580000,23.719999,23.490000,23.639999,22.335537,64400
2016-08-31,23.559999,23.650000,23.350000,23.440001,22.146580,39800
2016-09-01,23.450001,23.480000,23.260000,23.420000,22.127684,49500
2016-09-02,23.450001,23.930000,23.410000,23.840000,22.524504,31300
2016-09-06,23.780001,23.790001,23.430000,23.680000,22.373333,43500
2016-09-07,23.690001,23.889999,23.690001,23.850000,22.533955,143500
2016-09-08,23.799999,23.830000,23.549999,23.600000,22.297750,32600
2016-09-09,23.530001,23.530001,23.020000,23.030001,21.759203,115900
2016-09-12,22.900000,22.950001,22.740000,22.850000,21.589134,109100
2016-09-13,22.750000,22.889999,22.530001,22.809999,21.551340,59300
2016-09-14,22.809999,22.879999,22.660000,22.690001,21.437963,33700
2016-09-15,22.700001,23.250000,22.530001,23.010000,21.740305,42300
2016-09-16,22.959999,23.209999,22.959999,23.160000,21.882029,82600
2016-09-19,23.219999,23.270000,22.959999,23.120001,21.844238,34300
2016-09-20,23.170000,23.260000,22.980000,23.070000,21.796995,35200
2016-09-21,23.209999,23.580000,23.030001,23.379999,22.089891,70900
2016-09-22,23.490000,24.180000,23.490000,24.100000,22.770159,56700
2016-09-23,24.129999,24.219999,23.879999,24.049999,22.722918,56800
2016-09-26,23.940001,24.000000,23.469999,23.629999,22.326094,30100
2016-09-27,23.549999,23.750000,23.520000,23.639999,22.335537,40200
2016-09-28,23.600000,23.790001,23.500000,23.750000,22.439468,24200
2016-09-29,23.830000,23.850000,23.510000,23.600000,22.297750,42600
